id,Decision,Host_response_time,Host_is_superhost,Host_has_profile_pic,Host_identity_verified,Neighbourhood,Property_type,Room_type,Accommodates,Bathrooms_text,Bedrooms,Beds,Essentials,Cooking,Balcony,Parking,Price,Number_of_reviews,Review_scores_rating,Instant_bookable,Month
1,1,within an hour,t,t,t,28806,Entire cabin,Entire home/apt,6,1 bath,3,3,5,5,1,1,$164.00 ,90,4.93,t,August
2,1,within an hour,t,t,t,28804,Entire house,Entire home/apt,4,1 bath,1,1,5,4,1,1,$101.00 ,522,4.69,t,June
3,0,within a few hours,t,t,t,28806,Private room in bungalow,Private room,1,1 private bath,1,1,5,3,1,1,$32.00 ,35,4.83,f,June
4,1,within an hour,t,t,t,28803,Entire condominium (condo),Entire home/apt,8,2 baths,2,5,5,5,0,1,$381.00 ,11,5,t,September
5,0,within an hour,t,t,t,28805,Entire house,Entire home/apt,6,2 baths,3,4,5,5,1,1,$238.00 ,63,4.7,f,July
6,1,within an hour,t,t,t,28806,Entire residential home,Entire home/apt,6,2 baths,3,4,5,5,1,1,$133.00 ,29,4.93,f,August
7,1,within an hour,t,t,t,28806,Entire rental unit,Entire home/apt,2,1 bath,1,1,5,3,1,1,$138.00 ,40,5,f,September
8,0,within an hour,t,t,t,28803,Entire house,Entire home/apt,4,1.5 baths,2,2,5,5,1,1,$60.00 ,0,,f,June
9,1,within an hour,f,t,t,28704,Entire residential home,Entire home/apt,12,2 baths,3,7,4,4,0,1,$258.00 ,13,4.69,t,August
10,0,within a few hours,t,t,t,28806,Entire bungalow,Entire home/apt,3,1.5 baths,2,2,4,1,0,1,$100.00 ,68,4.94,f,September
11,1,within an hour,f,t,t,28806,Entire guest suite,Entire home/apt,4,1 bath,1,2,5,0,0,1,$106.00 ,56,4.48,f,August
12,1,,t,t,f,28801,Entire residential home,Entire home/apt,2,1 bath,,1,4,3,0,1,$107.00 ,95,4.58,t,September
13,1,within a few hours,f,t,f,28801,Entire apartment,Entire home/apt,2,1 bath,1,1,5,1,0,1,$193.00 ,2,5,f,June
14,1,within an hour,t,t,t,28801,Entire condominium,Entire home/apt,4,1 bath,1,2,3,5,1,1,$252.00 ,62,4.92,t,July
15,0,within an hour,t,t,t,28806,Entire house,Entire home/apt,6,3 baths,3,3,5,5,0,1,$385.00 ,17,4.82,t,June
16,0,within a few hours,t,t,f,28732,Entire guest suite,Entire home/apt,4,1 bath,2,3,5,5,1,1,$129.00 ,20,4.95,f,July
17,1,,t,t,t,28715,Entire house,Entire home/apt,11,2.5 baths,3,7,5,5,1,1,$500.00 ,5,5,f,June
18,1,within an hour,f,t,f,28715,Tiny house,Entire home/apt,2,1 bath,,1,5,4,1,1,$104.00 ,210,4.78,t,August
19,1,within a few hours,t,t,f,28803,Entire house,Entire home/apt,16,6 baths,7,9,5,5,1,1,"$1,175.00 ",25,4.92,f,July
20,1,within an hour,t,t,t,28803,Entire house,Entire home/apt,6,2 baths,3,4,5,5,1,1,$246.00 ,40,4.95,f,July
21,1,within an hour,t,t,t,28704,Entire residential home,Entire home/apt,2,1 bath,1,1,4,5,1,1,$135.00 ,79,4.77,f,August
22,1,within an hour,t,t,t,28804,Entire apartment,Entire home/apt,3,1 bath,1,1,5,4,1,1,$146.00 ,183,4.92,t,June
23,1,within an hour,t,t,t,28806,Entire rental unit,Entire home/apt,2,1 bath,1,3,5,5,1,1,$215.00 ,10,4.9,f,August
24,1,within an hour,f,t,t,28803,Private room in bungalow,Private room,2,1 private bath,1,1,5,2,0,1,$70.00 ,50,4.86,t,August
25,1,,,,,28806,Entire guest suite,Entire home/apt,2,1 bath,,2,4,3,0,0,$433.00 ,0,,t,June
26,0,,t,t,f,28801,Entire rental unit,Entire home/apt,2,1 bath,1,2,5,5,1,1,$90.00 ,8,5,f,September
27,0,within a few hours,t,t,t,28801,Entire rental unit,Entire home/apt,2,1 bath,1,1,5,5,0,1,$55.00 ,2,4.5,f,September
28,1,within an hour,t,t,t,28704,Entire residential home,Entire home/apt,6,2 baths,3,3,5,5,1,1,$250.00 ,14,5,t,September
29,1,within an hour,f,t,t,28806,Entire house,Entire home/apt,6,1 bath,3,4,5,5,0,1,$176.00 ,119,4.69,t,June
30,0,within an hour,t,t,f,28803,Entire guest suite,Entire home/apt,4,1 bath,2,2,5,4,1,1,$188.00 ,174,4.97,t,August
31,0,within an hour,t,t,t,28805,Entire house,Entire home/apt,2,1 bath,,1,5,5,1,1,$77.00 ,235,4.78,f,June
32,0,within an hour,f,t,t,28805,Entire residential home,Entire home/apt,7,2 baths,2,3,5,0,0,1,$132.00 ,13,5,f,August
33,1,within an hour,t,t,t,28801,Entire condominium (condo),Entire home/apt,4,1 bath,1,2,5,5,0,1,$266.00 ,17,4.65,t,September
34,0,within an hour,t,t,t,28715,Entire house,Entire home/apt,6,2 baths,3,3,5,0,1,1,$175.00 ,2,5,f,July
35,0,within an hour,t,t,t,28806,Entire residential home,Entire home/apt,7,3 baths,3,3,5,5,1,1,$308.00 ,2,5,t,August
36,0,within an hour,t,t,t,28704,Entire residential home,Entire home/apt,3,1 bath,1,1,5,5,1,1,$246.00 ,0,,t,August
37,0,within a few hours,t,t,t,28806,Entire bungalow,Entire home/apt,5,1 bath,2,2,3,3,1,1,$129.00 ,222,4.88,f,June
